Principais características do produtor singular (Mulher),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Pág 3/3
Mulher (nº de indivíduos),,,MADEIRA,Ilha da Madeira,Calheta,Câmara de Lobos,Funchal,Machico,Ponta do Sol,Porto Moniz,Ribeira Brava,Santa Cruz,Santana,São Vivente,Ilha de Porto Santo (P. Santo)
Produtor singular,,,  5 975 ,  5 957 ,   882 ,   650 ,   406 ,   544 ,   570 ,   330 ,   911 ,   310 ,   753 ,   601 ,   18 
,Autónomo,,  5 922 ,  5 904 ,   880 ,   609 ,   404 ,   544 ,   564 ,   330 ,   910 ,   309 ,   753 ,   601 ,   18 
,Empresário,,   53 ,   53 ,   2 ,   41 ,   2 ,- ,   6 ,- ,   1 ,   1 ,- ,- ,- 
Nível de instrução,,,,,,,,,,,,,,,
,Não sabe ler nem escrever,,  1 922 ,  1 918 ,   214 ,   214 ,   87 ,   206 ,   185 ,   84 ,   335 ,   95 ,   242 ,   256 ,   4 
,Sabe ler e escrever,,  1 311 ,  1 309 ,   188 ,   160 ,   79 ,   73 ,   141 ,   33 ,   253 ,   74 ,   199 ,   109 ,   2 
,Básico - 1º ciclo,,  2 317 ,  2 307 ,   437 ,   245 ,   184 ,   221 ,   199 ,   186 ,   283 ,   119 ,   240 ,   193 ,   10 
,Básico - 2º ciclo,,   250 ,   250 ,   34 ,   18 ,   19 ,   29 ,   27 ,   20 ,   18 ,   7 ,   56 ,   22 ,- 
,Básico - 3º ciclo,,   82 ,   82 ,   5 ,   6 ,   17 ,   9 ,   9 ,   2 ,   9 ,   3 ,   13 ,   9 ,- 
,Secundário agrícola,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Secundário não agrícola,,   55 ,   54 ,   1 ,   6 ,   7 ,   3 ,   5 ,   2 ,   10 ,   11 ,   3 ,   6 ,   1 
,Politécnico / Superior agrícola,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Politécnico / Superior não agrícola,,   38 ,   37 ,   3 ,   1 ,   13 ,   3 ,   4 ,   3 ,   3 ,   1 ,- ,   6 ,   1 
Formação profissional agrícola,,,,,,,,,,,,,,,
,Exclusivamente prática,,  5 928 ,  5 910 ,   873 ,   642 ,   402 ,   543 ,   562 ,   328 ,   909 ,   305 ,   747 ,   599 ,   18 
,Curta duração,,   15 ,   15 ,   3 ,   3 ,   2 ,   1 ,   2 ,   1 ,- ,   1 ,- ,   2 ,- 
,Longa duração,,   22 ,   22 ,   6 ,   2 ,   1 ,- ,   4 ,   1 ,   1 ,   3 ,   4 ,- ,- 
,Longa e curta duração,,   10 ,   10 ,- ,   3 ,   1 ,- ,   2 ,- ,   1 ,   1 ,   2 ,- ,- 
,Completa,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Tempo de actividade agrícola ,,,,,,,,,,,,,,,
,Tempo parcial,,  5 813 ,  5 796 ,   856 ,   648 ,   403 ,   544 ,   556 ,   300 ,   898 ,   292 ,   700 ,   599 ,   17 
,,> 0 - < 25%,  2 497 ,  2 485 ,   285 ,   445 ,   310 ,   272 ,   201 ,   45 ,   269 ,   142 ,   241 ,   275 ,   12 
,,25 - < 50%,  1 571 ,  1 568 ,   274 ,   139 ,   63 ,   134 ,   127 ,   65 ,   328 ,   76 ,   188 ,   174 ,   3 
,,50 - < 75%,  1 160 ,  1 159 ,   209 ,   47 ,   20 ,   53 ,   121 ,   152 ,   231 ,   42 ,   149 ,   135 ,   1 
,,75 - < 100%,   585 ,   584 ,   88 ,   17 ,   10 ,   85 ,   107 ,   38 ,   70 ,   32 ,   122 ,   15 ,   1 
,Tempo completo,,   162 ,   161 ,   26 ,   2 ,   3 ,- ,   14 ,   30 ,   13 ,   18 ,   53 ,   2 ,   1 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,,,,
,Principal,,  1 181 ,  1 176 ,   97 ,   101 ,   72 ,   138 ,   79 ,   28 ,   369 ,   57 ,   104 ,   131 ,   5 
,,Sector primário,   247 ,   247 ,   10 ,   3 ,   2 ,   83 ,   19 ,   1 ,   17 ,   13 ,   31 ,   68 ,- 
,,Sector secundário,   434 ,   434 ,   9 ,   55 ,   15 ,   13 ,   18 ,   2 ,   302 ,   5 ,   8 ,   7 ,- 
,,Sector terciário,   500 ,   495 ,   78 ,   43 ,   55 ,   42 ,   42 ,   25 ,   50 ,   39 ,   65 ,   56 ,   5 
,Secundária,,   107 ,   107 ,   3 ,   5 ,- ,- ,   3 ,- ,   86 ,   5 ,   3 ,   2 ,- 
,,Sector primário,   2 ,   2 ,- ,- ,- ,- ,- ,- ,- ,   1 ,- ,   1 ,- 
,,Sector secundário,   98 ,   98 ,- ,   5 ,- ,- ,   2 ,- ,   86 ,   2 ,   2 ,   1 ,- 
,,Sector terciário,   7 ,   7 ,   3 ,- ,- ,- ,   1 ,- ,- ,   2 ,   1 ,- ,- 
Situação na profissão exterior à exploração,,,,,,,,,,,,,,,
,Patrão/empregador,,   34 ,   33 ,   3 ,   2 ,   8 ,   3 ,   4 ,   2 ,   7 ,- ,   3 ,   1 ,   1 
,Trabalhador por conta própria,,   175 ,   175 ,   13 ,   10 ,- ,   78 ,   8 ,   2 ,   17 ,   19 ,   25 ,   3 ,- 
,Trabalhador por conta de outrem,,  1 049 ,  1 045 ,   78 ,   79 ,   61 ,   57 ,   68 ,   24 ,   431 ,   43 ,   79 ,   125 ,   4 
,Trabalhador familiar remunerado,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outra situação,,   30 ,   30 ,   6 ,   15 ,   3 ,- ,   2 ,- ,- ,- ,- ,   4 ,- 
Produtor singular dirigente,,,  5 562 ,  5 544 ,   813 ,   574 ,   362 ,   517 ,   500 ,   329 ,   896 ,   286 ,   675 ,   592 ,   18 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma da Madeira",,,,,,,,,,,,,,,
