Principais culturas temporárias (Ilha da Madeira - Câmara de Lobos),,,,,,,,,,,,
,,,,,,,,,,,,Pág. 1/4
REGIÃO AGRÁRIA,,,Total,,Cultura principal,,Cultura secundária,,,,,
Ilha,,,,,,,Total,,Sucessiva,,Associada sob-coberto de  permanentes,
Concelho,,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
MADEIRA,,,,,,,,,,,,
Culturas temporárias,,,  11 793 ,  3 563 ,  10 852 ,  2 201 ,  8 229 ,  1 363 ,  6 300 ,   867 ,  3 866 ,   495 
Cereais para grão,,,  2 623 ,   204 ,  1 914 ,   146 ,   846 ,   53 ,   781 ,   50 ,   65 ,   2 
Leguminosas secas para grão,,,  4 258 ,   165 ,  2 977 ,   101 ,  1 678 ,   63 ,  1 547 ,   57 ,   151 ,   4 
Prados temporários,,,   35 ,   3 ,   33 ,   3 ,   2 ,... ,- ,- ,   2 ,... 
Culturas forrageiras,,,   956 ,   143 ,   340 ,   45 ,   710 ,   93 ,   676 ,   87 ,   57 ,   5 
Batata,,,  10 415 ,  1 811 ,  8 936 ,  1 044 ,  6 077 ,   768 ,  3 158 ,   320 ,  3 666 ,   446 
Beterraba sacarina,,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Culturas indústriais,,,   652 ,   53 ,   624 ,   50 ,   36 ,   1 ,   21 ,o ,   15 ,   1 
Culturas hortícolas,,,  6 432 ,   628 ,  5 629 ,   499 ,  1 671 ,   128 ,  1 348 ,   101 ,   358 ,   24 
Flores e plantas ornamentais,,,   175 ,   41 ,   172 ,   41 ,   6 ,o ,   3 ,o ,   3 ,o 
Sementes de culturas forrageiras,,,   19 ,o ,   8 ,o ,   11 ,o ,   10 ,o ,   1 ,... 
Sementes e propágulos de outras culturas não lenhosas,,,   21 ,o ,   20 ,o ,   1 ,... ,   1 ,... ,- ,- 
Outras culturas temporárias,,,  6 412 ,   504 ,  4 295 ,   257 ,  3 004 ,   249 ,  2 923 ,   244 ,   96 ,   6 
,Ilha da Madeira,,,,,,,,,,,
,Culturas temporárias,,  11 769 ,  3 529 ,  10 828 ,  2 167 ,  8 228 ,  1 363 ,  6 300 ,   867 ,  3 865 ,   495 
,Cereais para grão,,  2 610 ,   176 ,  1 901 ,   118 ,   846 ,   53 ,   781 ,   50 ,   65 ,   2 
,Leguminosas secas para grão,,  4 258 ,   165 ,  2 977 ,   101 ,  1 678 ,   63 ,  1 547 ,   57 ,   151 ,   4 
,Prados temporários,,   35 ,   3 ,   33 ,   3 ,   2 ,... ,- ,- ,   2 ,... 
,Culturas forrageiras,,   952 ,   141 ,   336 ,   43 ,   710 ,   93 ,   676 ,   87 ,   57 ,   5 
,Batata,,  10 412 ,  1 811 ,  8 934 ,  1 044 ,  6 076 ,   768 ,  3 158 ,   320 ,  3 665 ,   446 
,Beterraba sacarina,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,,   652 ,   53 ,   624 ,   50 ,   36 ,   1 ,   21 ,o ,   15 ,   1 
,Culturas hortícolas,,  6 417 ,   625 ,  5 614 ,   496 ,  1 671 ,   128 ,  1 348 ,   101 ,   358 ,   24 
,Flores e plantas ornamentais,,   175 ,   41 ,   172 ,   41 ,   6 ,o ,   3 ,o ,   3 ,o 
,Sementes de culturas forrageiras,,   19 ,o ,   8 ,o ,   11 ,o ,   10 ,o ,   1 ,... 
,Sementes e propágulos de outras culturas não lenhosas,,   21 ,o ,   20 ,o ,   1 ,... ,   1 ,... ,- ,- 
,Outras culturas temporárias,,  6 410 ,   504 ,  4 293 ,   257 ,  3 004 ,   249 ,  2 923 ,   244 ,   96 ,   6 
,,Calheta,,,,,,,,,,
,,Culturas temporárias,  1 639 ,   415 ,  1 558 ,   264 ,  1 128 ,   151 ,   983 ,   121 ,   486 ,   31 
,,Cereais para grão,   461 ,   38 ,   254 ,   16 ,   259 ,   21 ,   257 ,   21 ,   2 ,... 
,,Leguminosas secas para grão,   776 ,   23 ,   508 ,   12 ,   303 ,   11 ,   289 ,   11 ,   18 ,o 
,,Prados temporários,   2 ,... ,   1 ,... ,   1 ,... ,- ,- ,   1 ,... 
,,Culturas forrageiras,   243 ,   33 ,   89 ,   7 ,   190 ,   25 ,   171 ,   22 ,   40 ,   2 
,,Batata,  1 595 ,   184 ,  1 490 ,   147 ,   557 ,   38 ,   192 ,   10 ,   477 ,   27 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,   85 ,   5 ,   81 ,   5 ,   4 ,o ,   3 ,o ,   1 ,... 
,,Culturas hortícolas,   854 ,   54 ,   738 ,   36 ,   290 ,   16 ,   283 ,   15 ,   17 ,   1 
,,Flores e plantas ornamentais,   6 ,   1 ,   6 ,   1 ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,   10 ,o ,   6 ,o ,   4 ,o ,   3 ,o ,   1 ,... 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,  1 185 ,   77 ,   773 ,   38 ,   586 ,   39 ,   584 ,   39 ,   2 ,... 
,,Câmara de Lobos,,,,,,,,,,
,,Culturas temporárias,  1 136 ,   263 ,   906 ,   143 ,   835 ,   119 ,   529 ,   80 ,   351 ,   40 
,,Cereais para grão,   23 ,o ,   13 ,o ,   10 ,o ,   10 ,o ,- ,- 
,,Leguminosas secas para grão,   129 ,   6 ,   106 ,   5 ,   27 ,   1 ,   25 ,   1 ,   3 ,o 
,,Prados temporários,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,   3 ,   3 ,   3 ,   3 ,- ,- ,- ,- ,- ,- 
,,Batata,   936 ,   143 ,   604 ,   66 ,   733 ,   77 ,   448 ,   46 ,   313 ,   30 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,   9 ,   1 ,   9 ,   1 ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,   679 ,   89 ,   408 ,   54 ,   362 ,   37 ,   282 ,   28 ,   83 ,   9 
,,Flores e plantas ornamentais,   19 ,   2 ,   18 ,   2 ,   1 ,... ,   1 ,... ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,   2 ,... ,   2 ,... ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,   330 ,   16 ,   246 ,   11 ,   97 ,   6 ,   92 ,   6 ,   5 ,o 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma da Madeira",,,,,,,,,,,,
